source,lang,title,url,fetched_at
聯合新聞網,zh,,,2026-09-25
自由時報,zh,贈習近平白頭鷹雕像 川普：自由翱翔精神的化身,https://news.ltn.com.tw/news/world/breakingnews/5585819,2026-09-25
自由時報,zh,李四川三重參香 拋忠孝碼頭跨河景觀橋連接大稻埕,https://news.ltn.com.tw/news/politics/breakingnews/5585841,2026-09-25
自由時報,zh,MLB》美聯塞揚超穩？洋基火球王牌防禦率只有1.95 締造隊史神紀錄,https://sports.ltn.com.tw/news/breakingnews/5585814,2026-09-25
自由時報,zh,送蛋糕、手工皂踩賄選紅線！ 雲林北港里長參選人遭聲押,https://news.ltn.com.tw/news/society/breakingnews/5585854,2026-09-25
自由時報,zh,高為元去留爭議 學者杜聖聰：該問台灣為什麼留不住一位校長,https://news.ltn.com.tw/news/life/breakingnews/5585840,2026-09-25
自由時報,zh,不派運輸機也能補給 美空軍測試「蚱蜢」無人機遭干擾仍可自主送貨,https://news.ltn.com.tw/news/def/breakingnews/5585834,2026-09-25
自由時報,zh,NBA》湖人錢給更多但執意去火箭 「聰明哥」開臭：他們很不尊重人,https://sports.ltn.com.tw/news/breakingnews/5585824,2026-09-25
自由時報,zh,Lexus 豪華小休旅 LBX 性能版預備升級登場！內裝首度曝光更有戰鬥感,https://auto.ltn.com.tw/news/32990,2026-09-25
自由時報,zh,《一把青》場景重現！岡山「醒村」歷經4年修復 10/3開園,https://news.ltn.com.tw/news/life/breakingnews/5585839,2026-09-25
自由時報,zh,中秋全台賞月指數「桃園到嘉義」滿分  其它地區雲多微扣分,https://news.ltn.com.tw/news/life/breakingnews/5585805,2026-09-25
自由時報,zh,彰化農藥快檢通過率89％ 議員吳韋達：不合格產品有全數攔截？,https://news.ltn.com.tw/news/life/breakingnews/5585828,2026-09-25
自由時報,zh,國宴管制嚴媒體陷混亂 川普拒CNN採訪還反控「拒絕報導」,https://news.ltn.com.tw/news/world/breakingnews/5585730,2026-09-25
自由時報,zh,避免秒殺！經部邀業者共商 輸歐金屬塗層鋼板配額調整,https://ec.ltn.com.tw/article/breakingnews/5585831,2026-09-25
自由時報,zh,難治型思覺失調症治療新曙光！北市聯醫與北醫團隊研究登國際期刊,https://health.ltn.com.tw/article/breakingnews/5585835,2026-09-25
自由時報,zh,怪癖夫愛PO妻裸照！反咬誣告吞敗,https://news.ltn.com.tw/news/society/breakingnews/5585825,2026-09-25
自由時報,zh,退休金竟想「1次花光」！60歲主管砸400萬買「這東西」 兒嚇壞急喊：再想想,https://ec.ltn.com.tw/article/breakingnews/5585853,2026-09-25
自由時報,zh,習近平白宮參加國宴 政商名流雲集 場外抗議聲不斷,https://news.ltn.com.tw/news/world/breakingnews/5585675,2026-09-25
自由時報,zh,中秋連假桃機湧人潮！今估14.3萬人次 上午8至10時最擁擠,https://news.ltn.com.tw/news/life/breakingnews/5585826,2026-09-25
自由時報,zh,中秋團圓日悲劇！8旬翁彰化海域抓魚落海 陸海空搜救尋獲遺體,https://news.ltn.com.tw/news/society/breakingnews/5585832,2026-09-25
自由時報,zh,富貴千金遭暴雪打醒！簡嫚書狠斬日企高薪 凌晨3:50起床「苦行」內幕曝光,https://ent.ltn.com.tw/news/breakingnews/5585830,2026-09-25
自由時報,zh,自由開講》我所認識的章孝慈校長,https://talk.ltn.com.tw/article/breakingnews/5584252,2026-09-25
自由時報,zh,砸100萬日圓買「日本史上最惡臭國寶」 台灣YTR壯舉轟動日網,https://news.ltn.com.tw/news/novelty/breakingnews/5585230,2026-09-25
自由時報,zh,清大校長高為元該下台？ 學者黃貞祥：不如讓清華自己投票,https://news.ltn.com.tw/news/life/breakingnews/5585818,2026-09-25
自由時報,zh,王偉忠被藍營攻擊「綠偉忠」！沈伯洋：不是很公平,https://news.ltn.com.tw/news/politics/breakingnews/5585823,2026-09-25
自由時報,zh,轎車倒栽田溝「空無一人」！台中警急尋車主 驚見婦人倒臥家中,https://news.ltn.com.tw/news/society/breakingnews/5585745,2026-09-25
自由時報,zh,中秋連假國道湧車潮 清水服務區營業額上看2000萬,https://news.ltn.com.tw/news/life/breakingnews/5585811,2026-09-25
自由時報,zh,合體議員體驗八里採柚 蘇巧慧拋農業政見：推動體驗型農園升級,https://news.ltn.com.tw/news/politics/breakingnews/5585810,2026-09-25
自由時報,zh,北韓240公厘火箭變「精準版」 射程暴增2倍、首爾都會區納打擊範圍,https://news.ltn.com.tw/news/def/breakingnews/5585790,2026-09-25
自由時報,zh,自由說新聞》俄「損失驚人」民眾嗆爆普廷！澤倫斯基震撼揭前線內幕,https://news.ltn.com.tw/news/world/breakingnews/5585827,2026-09-25
自由時報,zh,瑞芳國三生持剪刀猛刺高中學長釀重傷！少年法庭裁定收容,https://news.ltn.com.tw/news/society/breakingnews/5585808,2026-09-25
MyGoPen,zh,【錯誤】網傳影片：菜市場泡藥水最多的五種蔬菜？非臺灣情況！專家詳解技術與食安法規,https://www.mygopen.com/2026/09/pesticide.html,2026-09-25
